,xmin,ymin,xmax,ymax,label,score
0,461.0,450.0,482.0,471.0,Tree,0.7744670510292053
1,39.0,437.0,69.0,474.0,Tree,0.7156957387924194
2,488.0,103.0,506.0,124.0,Tree,0.7090330123901367
3,505.0,620.0,535.0,647.0,Tree,0.6993674039840698
4,268.0,271.0,295.0,297.0,Tree,0.6776624917984009
5,241.0,96.0,273.0,125.0,Tree,0.66684889793396
6,70.0,99.0,95.0,121.0,Tree,0.6632742285728455
7,279.0,163.0,304.0,190.0,Tree,0.6511744856834412
8,469.0,141.0,496.0,166.0,Tree,0.6406105160713196
9,584.0,86.0,603.0,106.0,Tree,0.6303442120552063
10,305.0,379.0,324.0,399.0,Tree,0.6199306845664978
11,107.0,420.0,135.0,445.0,Tree,0.6196340322494507
12,252.0,390.0,291.0,429.0,Tree,0.6178678870201111
13,34.0,90.0,53.0,109.0,Tree,0.616263747215271
14,361.0,55.0,398.0,85.0,Tree,0.612328052520752
15,326.0,62.0,346.0,80.0,Tree,0.6070032715797424
16,324.0,264.0,352.0,287.0,Tree,0.6069878935813904
17,366.0,191.0,397.0,225.0,Tree,0.6029216647148132
18,170.0,350.0,195.0,375.0,Tree,0.6025981903076172
19,164.0,256.0,194.0,290.0,Tree,0.5907508730888367
20,255.0,188.0,275.0,210.0,Tree,0.5897504091262817
21,167.0,417.0,191.0,439.0,Tree,0.5887128114700317
22,304.0,185.0,323.0,204.0,Tree,0.5826537609100342
23,611.0,314.0,644.0,346.0,Tree,0.5822350978851318
24,195.0,516.0,212.0,536.0,Tree,0.5795238018035889
25,84.0,538.0,110.0,562.0,Tree,0.577424168586731
26,476.0,231.0,503.0,256.0,Tree,0.5750397443771362
27,181.0,317.0,200.0,341.0,Tree,0.5556044578552246
28,620.0,366.0,645.0,389.0,Tree,0.5544535517692566
29,281.0,202.0,298.0,223.0,Tree,0.5479164719581604
30,49.0,501.0,79.0,531.0,Tree,0.5465946793556213
31,619.0,279.0,645.0,301.0,Tree,0.5459537506103516
32,567.0,624.0,587.0,636.0,Tree,0.5454238057136536
33,105.0,207.0,125.0,227.0,Tree,0.5428829789161682
34,372.0,108.0,397.0,130.0,Tree,0.5396303534507751
35,509.0,60.0,524.0,78.0,Tree,0.5394416451454163
36,423.0,620.0,448.0,645.0,Tree,0.5358420014381409
37,255.0,163.0,269.0,180.0,Tree,0.5349132418632507
38,483.0,195.0,509.0,220.0,Tree,0.5338491201400757
39,284.0,441.0,321.0,473.0,Tree,0.5315431952476501
