,xmin,ymin,xmax,ymax,label,score
0,245.0,409.0,282.0,440.0,Tree,0.7407634854316711
1,275.0,503.0,301.0,527.0,Tree,0.702646791934967
2,31.0,542.0,49.0,561.0,Tree,0.6815903186798096
3,484.0,263.0,509.0,288.0,Tree,0.6657986044883728
4,248.0,41.0,270.0,59.0,Tree,0.6630653142929077
5,155.0,231.0,191.0,260.0,Tree,0.6532471776008606
6,163.0,352.0,186.0,374.0,Tree,0.6529775857925415
7,25.0,346.0,48.0,367.0,Tree,0.6442415118217468
8,388.0,28.0,408.0,46.0,Tree,0.6274329423904419
9,571.0,245.0,589.0,265.0,Tree,0.5838962197303772
10,431.0,598.0,458.0,622.0,Tree,0.577052116394043
11,561.0,403.0,583.0,421.0,Tree,0.576586902141571
12,48.0,435.0,68.0,454.0,Tree,0.5597277879714966
13,67.0,195.0,90.0,218.0,Tree,0.5578598380088806
14,25.0,221.0,41.0,232.0,Tree,0.5394265651702881
15,251.0,177.0,270.0,199.0,Tree,0.5152631998062134
16,425.0,502.0,456.0,527.0,Tree,0.5097297430038452
17,576.0,39.0,592.0,57.0,Tree,0.5075913667678833
18,168.0,250.0,187.0,257.0,Tree,0.5063547492027283
19,421.0,161.0,436.0,177.0,Tree,0.5053519606590271
20,139.0,486.0,155.0,501.0,Tree,0.49997520446777344
21,484.0,149.0,501.0,167.0,Tree,0.49897682666778564
22,182.0,593.0,195.0,603.0,Tree,0.4835534989833832
23,54.0,482.0,69.0,498.0,Tree,0.4817257225513458
24,369.0,286.0,384.0,297.0,Tree,0.48082971572875977
25,591.0,221.0,605.0,234.0,Tree,0.47017213702201843
26,28.0,0.0,44.0,7.0,Tree,0.4698011577129364
27,373.0,229.0,385.0,242.0,Tree,0.4655468165874481
28,441.0,94.0,454.0,105.0,Tree,0.4593788981437683
29,57.0,25.0,82.0,49.0,Tree,0.45925450325012207
30,55.0,221.0,72.0,235.0,Tree,0.4514887034893036
31,577.0,100.0,599.0,118.0,Tree,0.45059290528297424
32,176.0,82.0,193.0,100.0,Tree,0.44939401745796204
33,627.0,619.0,639.0,633.0,Tree,0.4474722445011139
34,50.0,74.0,78.0,96.0,Tree,0.439380019903183
35,51.0,303.0,66.0,321.0,Tree,0.4379349946975708
