,xmin,ymin,xmax,ymax,label,score
0,333.0,324.0,350.0,341.0,Tree,0.7442342638969421
1,478.0,260.0,499.0,280.0,Tree,0.6413390040397644
2,395.0,63.0,413.0,83.0,Tree,0.6309360265731812
3,103.0,278.0,120.0,297.0,Tree,0.6049298644065857
4,497.0,328.0,520.0,347.0,Tree,0.5798540115356445
5,259.0,112.0,275.0,127.0,Tree,0.5677803754806519
6,493.0,167.0,511.0,187.0,Tree,0.5656987428665161
7,442.0,323.0,461.0,341.0,Tree,0.5593295693397522
8,91.0,46.0,110.0,68.0,Tree,0.5573196411132812
9,509.0,187.0,529.0,208.0,Tree,0.5385668277740479
10,212.0,278.0,232.0,299.0,Tree,0.537487268447876
11,601.0,34.0,621.0,53.0,Tree,0.5211496353149414
12,65.0,105.0,85.0,123.0,Tree,0.515906572341919
13,65.0,51.0,84.0,71.0,Tree,0.5143753886222839
14,505.0,256.0,523.0,273.0,Tree,0.5141203999519348
15,200.0,99.0,222.0,119.0,Tree,0.5105053186416626
16,287.0,52.0,301.0,68.0,Tree,0.5044361352920532
17,216.0,73.0,238.0,91.0,Tree,0.49143317341804504
18,504.0,138.0,526.0,158.0,Tree,0.48871469497680664
19,109.0,247.0,127.0,266.0,Tree,0.48835548758506775
20,118.0,368.0,138.0,387.0,Tree,0.48509880900382996
21,519.0,213.0,538.0,232.0,Tree,0.483996719121933
22,561.0,215.0,581.0,231.0,Tree,0.48229604959487915
23,141.0,495.0,155.0,510.0,Tree,0.4718661904335022
24,177.0,203.0,192.0,219.0,Tree,0.4613720178604126
25,360.0,158.0,379.0,178.0,Tree,0.4587448239326477
26,87.0,258.0,105.0,277.0,Tree,0.4503666162490845
27,279.0,148.0,292.0,163.0,Tree,0.4409543573856354
28,103.0,78.0,124.0,98.0,Tree,0.434328556060791
29,380.0,127.0,396.0,144.0,Tree,0.423317551612854
30,57.0,466.0,71.0,482.0,Tree,0.42203623056411743
31,178.0,625.0,198.0,644.0,Tree,0.4195551872253418
32,0.0,303.0,6.0,319.0,Tree,0.41542989015579224
33,613.0,201.0,627.0,216.0,Tree,0.4089747667312622
34,422.0,58.0,438.0,73.0,Tree,0.400604784488678
35,219.0,248.0,236.0,263.0,Tree,0.3984326124191284
36,90.0,391.0,115.0,414.0,Tree,0.3855248689651489
37,146.0,577.0,166.0,592.0,Tree,0.38419198989868164
