,xmin,ymin,xmax,ymax,label,score
0,251.0,460.0,278.0,485.0,Tree,0.8250454068183899
1,128.0,53.0,149.0,71.0,Tree,0.8058007955551147
2,398.0,467.0,429.0,492.0,Tree,0.7536482214927673
3,533.0,476.0,554.0,498.0,Tree,0.7447195649147034
4,86.0,363.0,109.0,387.0,Tree,0.7130349278450012
5,542.0,297.0,562.0,316.0,Tree,0.7065221071243286
6,265.0,391.0,299.0,423.0,Tree,0.68437260389328
7,204.0,537.0,223.0,559.0,Tree,0.6746547818183899
8,277.0,323.0,298.0,342.0,Tree,0.6707593202590942
9,213.0,463.0,232.0,482.0,Tree,0.6648624539375305
10,89.0,240.0,107.0,257.0,Tree,0.6446740627288818
11,600.0,300.0,617.0,317.0,Tree,0.6403493285179138
12,37.0,583.0,57.0,604.0,Tree,0.6278413534164429
13,364.0,336.0,383.0,356.0,Tree,0.6241804361343384
14,521.0,537.0,541.0,556.0,Tree,0.6190289258956909
15,446.0,147.0,480.0,170.0,Tree,0.614879310131073
16,602.0,244.0,630.0,268.0,Tree,0.6079987287521362
17,310.0,463.0,333.0,487.0,Tree,0.6055998206138611
18,188.0,245.0,209.0,264.0,Tree,0.5921050310134888
19,262.0,614.0,279.0,632.0,Tree,0.5776641964912415
20,441.0,399.0,466.0,421.0,Tree,0.5769472122192383
21,504.0,337.0,524.0,356.0,Tree,0.5718690752983093
22,54.0,61.0,72.0,80.0,Tree,0.5657406449317932
23,189.0,356.0,208.0,374.0,Tree,0.5646288394927979
24,193.0,462.0,209.0,479.0,Tree,0.5615568161010742
25,258.0,241.0,278.0,261.0,Tree,0.5562982559204102
26,528.0,65.0,554.0,83.0,Tree,0.5511819124221802
27,11.0,496.0,34.0,513.0,Tree,0.5507455468177795
28,147.0,464.0,170.0,482.0,Tree,0.5479639768600464
29,377.0,466.0,396.0,483.0,Tree,0.5399743318557739
30,350.0,382.0,370.0,404.0,Tree,0.5388224720954895
31,444.0,470.0,477.0,492.0,Tree,0.5355655550956726
32,423.0,149.0,445.0,168.0,Tree,0.5340795516967773
33,633.0,315.0,649.0,340.0,Tree,0.523872435092926
34,432.0,545.0,452.0,564.0,Tree,0.5222413539886475
35,250.0,587.0,263.0,605.0,Tree,0.5220103859901428
36,128.0,606.0,152.0,630.0,Tree,0.5129929184913635
37,463.0,243.0,493.0,263.0,Tree,0.5121095180511475
38,195.0,401.0,210.0,417.0,Tree,0.5113121271133423
39,367.0,401.0,385.0,421.0,Tree,0.5091152787208557
40,99.0,340.0,115.0,356.0,Tree,0.5084238648414612
41,194.0,384.0,207.0,399.0,Tree,0.5018815994262695
42,140.0,538.0,161.0,559.0,Tree,0.5011569261550903
43,277.0,260.0,293.0,278.0,Tree,0.5007065534591675
44,508.0,65.0,528.0,83.0,Tree,0.49924981594085693
45,586.0,247.0,604.0,265.0,Tree,0.49440550804138184
46,574.0,471.0,594.0,489.0,Tree,0.49412721395492554
47,358.0,257.0,377.0,280.0,Tree,0.49292659759521484
48,101.0,600.0,121.0,622.0,Tree,0.46169811487197876
49,203.0,0.0,219.0,6.0,Tree,0.46099936962127686
50,615.0,616.0,626.0,634.0,Tree,0.460703045129776
51,337.0,476.0,356.0,496.0,Tree,0.4589787721633911
52,402.0,533.0,418.0,548.0,Tree,0.4575943052768707
53,250.0,140.0,266.0,156.0,Tree,0.45642173290252686
54,371.0,547.0,385.0,560.0,Tree,0.4556354582309723
55,610.0,70.0,630.0,88.0,Tree,0.4545992314815521
56,574.0,154.0,586.0,166.0,Tree,0.45383206009864807
57,7.0,421.0,28.0,439.0,Tree,0.4532611668109894
58,22.0,469.0,41.0,488.0,Tree,0.45253926515579224
59,535.0,245.0,549.0,258.0,Tree,0.4518187642097473
60,48.0,450.0,69.0,470.0,Tree,0.4513591527938843
61,307.0,60.0,323.0,77.0,Tree,0.4454406499862671
62,324.0,554.0,339.0,569.0,Tree,0.44095027446746826
63,443.0,328.0,458.0,344.0,Tree,0.42900317907333374
64,622.0,2.0,644.0,19.0,Tree,0.425899475812912
65,283.0,533.0,300.0,549.0,Tree,0.4257850646972656
66,181.0,323.0,199.0,342.0,Tree,0.4197764992713928
67,218.0,59.0,242.0,77.0,Tree,0.4173809289932251
68,329.0,60.0,343.0,76.0,Tree,0.4117647111415863
69,410.0,64.0,424.0,79.0,Tree,0.4117310345172882
70,414.0,0.0,451.0,18.0,Tree,0.41023826599121094
71,464.0,354.0,480.0,369.0,Tree,0.4070878326892853
72,74.0,537.0,94.0,556.0,Tree,0.40695807337760925
73,63.0,559.0,81.0,580.0,Tree,0.40620383620262146
74,9.0,246.0,27.0,265.0,Tree,0.3945883512496948
75,641.0,301.0,649.0,318.0,Tree,0.391909122467041
76,97.0,542.0,124.0,564.0,Tree,0.38895705342292786
77,363.0,104.0,376.0,118.0,Tree,0.3885000944137573
78,561.0,626.0,582.0,642.0,Tree,0.38700324296951294
79,132.0,566.0,152.0,587.0,Tree,0.38587552309036255
80,11.0,281.0,27.0,296.0,Tree,0.37681296467781067
81,602.0,279.0,617.0,296.0,Tree,0.3744152784347534
82,502.0,543.0,515.0,556.0,Tree,0.3736313283443451
83,160.0,594.0,174.0,610.0,Tree,0.3716180920600891
84,14.0,321.0,32.0,340.0,Tree,0.3641214370727539
85,543.0,354.0,558.0,369.0,Tree,0.3615761995315552
86,60.0,536.0,72.0,550.0,Tree,0.35460081696510315
87,603.0,1.0,618.0,14.0,Tree,0.3494788408279419
88,511.0,407.0,524.0,420.0,Tree,0.34941914677619934
89,4.0,635.0,16.0,648.0,Tree,0.3418720066547394
90,507.0,631.0,520.0,643.0,Tree,0.33360427618026733
91,463.0,383.0,477.0,397.0,Tree,0.33092212677001953
92,127.0,0.0,141.0,5.0,Tree,0.32810792326927185
93,324.0,614.0,336.0,628.0,Tree,0.32687339186668396
94,429.0,250.0,445.0,256.0,Tree,0.3202386796474457
95,89.0,133.0,101.0,146.0,Tree,0.307309091091156
96,167.0,0.0,181.0,5.0,Tree,0.3069101572036743
97,89.0,565.0,119.0,590.0,Tree,0.30386725068092346
98,544.0,393.0,563.0,400.0,Tree,0.3035167455673218
99,165.0,338.0,179.0,350.0,Tree,0.2891921401023865
100,431.0,72.0,444.0,85.0,Tree,0.2797931432723999
101,362.0,296.0,374.0,309.0,Tree,0.2780255973339081
102,20.0,139.0,33.0,149.0,Tree,0.25493717193603516
103,194.0,279.0,204.0,295.0,Tree,0.25475671887397766
104,86.0,631.0,119.0,650.0,Tree,0.24429745972156525
105,532.0,396.0,561.0,421.0,Tree,0.17996487021446228
106,512.0,0.0,541.0,16.0,Tree,0.11388280987739563
