,xmin,ymin,xmax,ymax,label,score
0,584.0,125.0,606.0,146.0,Tree,0.7683006525039673
1,389.0,169.0,420.0,193.0,Tree,0.7616018056869507
2,578.0,570.0,603.0,594.0,Tree,0.7610143423080444
3,39.0,118.0,60.0,137.0,Tree,0.7552058696746826
4,37.0,545.0,69.0,574.0,Tree,0.7338512539863586
5,389.0,245.0,410.0,265.0,Tree,0.7312593460083008
6,416.0,403.0,434.0,421.0,Tree,0.72556471824646
7,228.0,578.0,249.0,599.0,Tree,0.7174901366233826
8,368.0,397.0,396.0,426.0,Tree,0.6798949837684631
9,34.0,31.0,62.0,57.0,Tree,0.6713282465934753
10,503.0,267.0,518.0,286.0,Tree,0.6651647090911865
11,165.0,437.0,192.0,460.0,Tree,0.6447804570198059
12,132.0,168.0,169.0,198.0,Tree,0.641477108001709
13,305.0,367.0,336.0,394.0,Tree,0.6289650201797485
14,42.0,183.0,68.0,205.0,Tree,0.6260819435119629
15,361.0,266.0,378.0,286.0,Tree,0.6099238991737366
16,349.0,554.0,384.0,583.0,Tree,0.602205753326416
17,502.0,576.0,519.0,596.0,Tree,0.6013635396957397
18,194.0,442.0,221.0,465.0,Tree,0.5814679861068726
19,500.0,171.0,518.0,191.0,Tree,0.5760688781738281
20,116.0,294.0,132.0,311.0,Tree,0.5727598667144775
21,144.0,20.0,165.0,40.0,Tree,0.561413586139679
22,457.0,596.0,482.0,618.0,Tree,0.5555316805839539
23,571.0,388.0,599.0,411.0,Tree,0.5440032482147217
24,36.0,4.0,64.0,26.0,Tree,0.538474977016449
25,136.0,465.0,152.0,481.0,Tree,0.5376455783843994
26,417.0,542.0,432.0,558.0,Tree,0.530081033706665
27,424.0,250.0,441.0,269.0,Tree,0.5212021470069885
28,360.0,607.0,386.0,629.0,Tree,0.5102806091308594
29,420.0,600.0,446.0,626.0,Tree,0.5096217393875122
30,190.0,375.0,207.0,390.0,Tree,0.5063607096672058
31,586.0,217.0,601.0,232.0,Tree,0.5063494443893433
32,344.0,294.0,359.0,308.0,Tree,0.4920218884944916
33,571.0,368.0,593.0,387.0,Tree,0.4865657091140747
34,463.0,165.0,482.0,184.0,Tree,0.48532378673553467
35,476.0,543.0,489.0,557.0,Tree,0.4832354485988617
36,343.0,234.0,361.0,251.0,Tree,0.46968626976013184
37,490.0,400.0,504.0,411.0,Tree,0.4558153450489044
38,586.0,46.0,600.0,64.0,Tree,0.4536644518375397
39,410.0,622.0,430.0,641.0,Tree,0.45247989892959595
40,177.0,0.0,190.0,6.0,Tree,0.4382990896701813
41,184.0,73.0,205.0,93.0,Tree,0.4319501221179962
42,499.0,332.0,513.0,346.0,Tree,0.4263463318347931
43,583.0,457.0,598.0,473.0,Tree,0.41519856452941895
44,479.0,572.0,498.0,591.0,Tree,0.4047566056251526
45,580.0,418.0,596.0,434.0,Tree,0.4031437933444977
46,593.0,377.0,615.0,397.0,Tree,0.3902442753314972
47,43.0,138.0,61.0,155.0,Tree,0.38020819425582886
48,152.0,45.0,166.0,60.0,Tree,0.3779431879520416
49,333.0,642.0,347.0,650.0,Tree,0.3772069215774536
50,441.0,553.0,456.0,569.0,Tree,0.36304500699043274
51,370.0,393.0,384.0,400.0,Tree,0.3618464469909668
52,151.0,88.0,165.0,102.0,Tree,0.3592374622821808
53,343.0,386.0,354.0,401.0,Tree,0.3575489819049835
54,298.0,80.0,313.0,96.0,Tree,0.34757745265960693
55,39.0,643.0,57.0,650.0,Tree,0.34390828013420105
56,460.0,263.0,472.0,276.0,Tree,0.3438839614391327
57,346.0,0.0,380.0,13.0,Tree,0.3421870172023773
58,36.0,225.0,50.0,240.0,Tree,0.34123706817626953
59,342.0,267.0,356.0,284.0,Tree,0.3399747908115387
60,576.0,644.0,594.0,650.0,Tree,0.33192339539527893
61,508.0,475.0,520.0,488.0,Tree,0.32750171422958374
62,133.0,624.0,143.0,637.0,Tree,0.3212229013442993
63,188.0,291.0,202.0,304.0,Tree,0.3190663456916809
64,480.0,165.0,498.0,184.0,Tree,0.3177599012851715
65,418.0,394.0,431.0,400.0,Tree,0.3169099986553192
66,499.0,527.0,513.0,541.0,Tree,0.31627458333969116
67,439.0,575.0,453.0,590.0,Tree,0.30904635787010193
68,39.0,246.0,56.0,264.0,Tree,0.3087092339992523
69,414.0,475.0,429.0,489.0,Tree,0.3061358332633972
70,419.0,329.0,433.0,343.0,Tree,0.2976303696632385
71,264.0,578.0,278.0,593.0,Tree,0.29558423161506653
72,45.0,413.0,65.0,432.0,Tree,0.2883937656879425
73,457.0,579.0,472.0,593.0,Tree,0.287570059299469
74,438.0,310.0,454.0,324.0,Tree,0.28623807430267334
75,465.0,473.0,491.0,488.0,Tree,0.28006571531295776
76,388.0,481.0,401.0,490.0,Tree,0.27870050072669983
77,299.0,168.0,311.0,177.0,Tree,0.26500368118286133
78,498.0,542.0,512.0,557.0,Tree,0.2632007300853729
79,591.0,1.0,604.0,14.0,Tree,0.24053044617176056
80,195.0,391.0,210.0,400.0,Tree,0.23927122354507446
81,403.0,0.0,414.0,5.0,Tree,0.23464789986610413
82,216.0,467.0,229.0,481.0,Tree,0.23349158465862274
83,378.0,283.0,393.0,293.0,Tree,0.2316199690103531
84,180.0,506.0,193.0,514.0,Tree,0.2229260951280594
85,181.0,121.0,195.0,133.0,Tree,0.22199620306491852
86,306.0,587.0,317.0,600.0,Tree,0.217123344540596
87,151.0,550.0,160.0,565.0,Tree,0.20737771689891815
